번호,구분,항목,학교명,주소,위도,경도,우편번호,전화번호,팩스번호,관할교육청,공립사립,사이트,홈페이지
8,고,G,계룡디지텍고등학교,대전광역시 동구 소랑길 64 (삼성동),36.3365648,127.434023,34613,042-630-6000,042-627-5328,시교육청,사립,Y,http://krdhs.djsch.kr
29,고,G,남대전고등학교,대전광역시 중구 보문로111번길 63 (대사동),36.3107358,127.4275707,35051,042-253-7111,042-222-1557,시교육청,사립,Y,http://ndjhs.djsch.kr
39,고,G,대덕고등학교,대전광역시 유성구 대덕대로556번길 158 (도룡동),36.3871925,127.3813672,34121,042-860-0307,042-861-1413,시교육청,공립,Y,http://daedeokhs.djsch.kr
42,고,G,대덕소프트웨어마이스터고등학교,대전광역시 유성구 가정북로 76 (장동),36.3918825,127.3633497,34111,042-866-8822,042-867-9900,시교육청,공립,Y,http://dsmhs.djsch.kr
51,고,G,대전가오고등학교,대전광역시 동구 신기로 71 (가오동),36.3106418,127.4545028,34691,042-280-3700,042-280-3790,시교육청,공립,Y,http://gaohs.djsch.kr
65,고,G,대전고등학교,대전광역시 중구 대흥로 110 (대흥동),36.3220349,127.4240267,34932,042-220-6100,042-220-6130,시교육청,공립,Y,http://djhs.djsch.kr
66,고,G,대전공업고등학교,대전광역시 유성구 진잠로42번길 35 (원내동),36.2969673,127.3185722,34231,042-540-2100,042-543-2387,시교육청,공립,Y,http://daegonghs.djsch.kr
67,고,G,대전과학고등학교,대전광역시 유성구 과학로 46 (구성동),36.3740616,127.3712181,34142,042-860-0214,042-863-5488,시교육청,공립,Y,http://djshs.djsch.kr
68,고,G,대전관저고등학교,대전광역시 서구 관저북로 94 (관저동),36.3107441,127.3380408,35358,042-540-2800,042-545-2866,시교육청,공립,Y,http://gjhs.djsch.kr
75,고,G,대전괴정고등학교,대전광역시 서구 가장로 15 (괴정동),36.3400127,127.3791505,35291,042-520-8413,042-528-9897,시교육청,공립,Y,http://goejeonghs.djsch.kr
79,고,G,대전구봉고등학교,대전광역시 서구 관저서로 36 (관저동),36.2956239,127.3309218,35376,042-540-3745,042-540-3799,시교육청,공립,Y,http://gubonghs.djsch.kr
83,고,G,대전국제통상고등학교,대전광역시 중구 서문로 47 (문화동),36.3135018,127.40741,34998,042-580-2585,042-582-6064,시교육청,공립,Y,http://dimhs.djsch.kr
93,고,G,대전노은고등학교,대전광역시 유성구 노은동로99번길 55 (노은동),36.3689947,127.3192306,34091,042-717-3600,042-476-1448,시교육청,공립,Y,http://noeunhs.djsch.kr
103,고,G,대전대성고등학교,대전광역시 중구 목동로 23 (목동),36.3325444,127.4074351,35825,042-250-3853,042-250-3899,시교육청,사립,Y,http://www.daeseong.hs.kr
104,고,G,대전대성여자고등학교,대전광역시 동구 대성2길 20 (가양동),36.3377093,127.4406962,34601,042-670-2000,042-632-0551,시교육청,사립,Y,http://dsghs.djsch.kr
107,고,G,대전대신고등학교,대전광역시 서구 오량1길 98 (복수동),36.3090805,127.3811451,35406,042-585-5901,042-583-8061,시교육청,사립,Y,http://dshs.kr
126,고,G,대전도안고등학교,대전광역시 유성구 원신흥남로 51 (원신흥동),36.3368208,127.3374176,34194,042-820-8600,-,시교육청,공립,Y,http://doanhs.djsch.kr
133,고,G,대전동산고등학교,대전광역시 중구 문화로 183 (문화동),36.3160523,127.4045008,34960,042-587-5211,042-587-5228,시교육청,사립,Y,http://djdongsanhs.djsch.kr
138,고,G,대전동신과학고등학교,대전광역시 동구 옥천로 423 (비룡동),36.3471628,127.4737045,34500,042-717-9400,042-717-9409,시교육청,공립,Y,http://ddsciencehs.djsch.kr
145,고,G,대전둔산여자고등학교,대전광역시 서구 갈마역로 33 (갈마동),36.3530976,127.3732385,35231,042-479-3800,042-488-6032,시교육청,공립,Y,http://djdunsan-ghs.djsch.kr
148,고,G,대전둔원고등학교,대전광역시 서구 대덕대로 101 (갈마동),36.3427902,127.373418,35273,042-530-3661,042-538-7120,시교육청,공립,Y,http://dunwonhs.djsch.kr
152,고,G,대전만년고등학교,대전광역시 서구 만년로 6 (만년동),36.3672757,127.3735349,35200,042-479-9600,042-488-7387,시교육청,공립,Y,http://mannyonhs.djsch.kr
175,고,G,대전반석고등학교,대전광역시 유성구 지족로 332 (지족동),36.3868436,127.3135398,34076,042-824-3022,042-824-3023,시교육청,공립,Y,http://banseokhs.djsch.kr
191,고,G,대전복수고등학교,대전광역시 서구 혜천로 66 (복수동),36.3030646,127.3733462,35409,042-580-1100,042-587-0603,시교육청,공립,Y,http://boksuhs.djsch.kr
224,고,G,대전생활과학고등학교,대전광역시 대덕구 동산초교로63번길 12 (오정동),36.3497526,127.4228656,34432,042-629-1300,042-636-3607,시교육청,사립,Y,http://djpshs.djsch.kr
239,고,G,대전성모여자고등학교,대전광역시 중구 대흥로 62 (대흥동),36.322771,127.4189482,34943,042-253-4134,042-222-4623,시교육청,사립,Y,http://seongmohs.djsch.kr
249,고,G,대전송촌고등학교,대전광역시 대덕구 선비마을로23번길 11 (송촌동),36.3634354,127.4459299,34404,042-620-5921,042-620-5909,시교육청,공립,Y,http://songchonhs.djsch.kr
260,고,G,대전신일여자고등학교,대전광역시 중구 부사로 48 (부사동),36.3083056,127.4348631,35058,042-221-1771,042-221-1776,시교육청,사립,Y,http://shinilhs.djsch.kr
268,고,G,대전여자고등학교,대전광역시 동구 용운로1번길 28-37 (대동),36.3297461,127.4471431,34656,042-630-5901,042-633-8846,시교육청,공립,Y,http://djghs.djsch.kr
269,고,G,대전여자상업고등학교,대전광역시 중구 대종로550번길 31 (선화동),36.3338534,127.421683,34831,042-254-4507,042-255-8319,시교육청,사립,Y,http://aramhs.djsch.kr
271,고,G,대전예술고등학교,대전광역시 유성구 월드컵대로308번길 33 (상대동),36.3464339,127.3327969,34198,042-825-2203,042-823-9547,시교육청,사립,Y,http://taejonarths.djsch.kr
276,고,G,대전외국어고등학교,대전광역시 서구 신갈마로 19 (내동),36.3366379,127.3654894,35280,042-537-0682,042-537-0687,시교육청,공립,Y,http://djflhs.djsch.kr
279,고,G,대전용산고등학교,대전광역시 유성구 용산2로 2-16 (용산동),36.4207782,127.3960279,34031,042-629-9201,042-934-9695,시교육청,공립,Y,http://dyshs.djsch.kr
304,고,G,대전이문고등학교,대전광역시 대덕구 석봉로 15 (석봉동),36.4476358,127.4228219,34317,042-930-0800,042-932-1633,시교육청,사립,Y,http://imunhs.djsch.kr
312,고,G,대전전민고등학교,대전광역시 유성구 전민로 63 (전민동),36.3980927,127.3984309,34053,042-870-0100,042-382-0255,시교육청,공립,Y,http://jeonminhs.djsch.kr
315,고,G,대전전자디자인고등학교,대전광역시 유성구 대덕대로 939 (화암동),36.4129598,127.3770185,34058,042-611-8311,042-864-1329,시교육청,공립,Y,http://djedhs.djsch.kr
318,고,G,대전제일고등학교,대전광역시 서구 배재로46번길 77 (도마동),36.3133418,127.3723642,35339,042-527-9661,042-527-9663,시교육청,사립,Y,http://jeilhs.djsch.kr
323,고,G,대전중앙고등학교,대전광역시 중구 대종로 634 (중촌동),36.3388858,127.4124062,34804,042-226-7604,042-252-6188,시교육청,사립,Y,http://djjahs.djsch.kr
330,고,G,대전지족고등학교,대전광역시 유성구 노은서로 202 (지족동),36.3779231,127.3157279,34082,042-717-1508,042-476-2710,시교육청,공립,Y,http://jijokhs.djsch.kr
