연번,캠핑장명,주소,위도,경도,전화번호,홈페이지
1,안산화랑오토캠핑장,안산시 단원구 동산로 268,37.3253068,126.8118493,031-481-9800~1,http://camp.ansanuc.net/
2,탄도항 노을 캠핑장,안산시 단원구 대부황금로 17-2,37.1863447,126.6311414,010-5859-5522,http://www.laonvill.com/main/page.php?ch=camp&p=page.camp23
3,대부도캠핑성,안산시 단원구 부흥로 232-68,37.2196238,126.5988709,010-8650-5481,http://www.campingcastle.com/
4,카라반랜드,안산시 단원구 수영목길 27-75,37.2187728,126.5979334,031-888-8861,http://xn--hy1bu3c0cp2snx1a.kr/
5,해솔길캠핑장,안산시 단원구 연목이길 11-1,37.2674188,126.5605635,010-3407-4077,https://booking.naver.com/booking/3/bizes/172849
6,씨엘관광농원,안산시 단원구 대부황금로 976,37.2493924,126.5919469,032-881-0750,http://www.cielcamp.co.kr/
7,핀란드캠핑장,안산시 단원구 끝망생이길 28-17,37.2296669,126.5451597,010-3135-4555,https://www.gocamping.or.kr/
8,고래숲 관광농원,안산시 단원구 장불길 14,37.2003144,126.5616868,010-7672-2447,https://www.gocamping.or.kr/
9,비치캠핑장,안산시 단원구 장불길 35,37.2009624,126.5594036,010-4032-3379,http://www.beachps.com/
10,바다의별 관광농원,안산시 단원구 부흥로 359-9,37.215127,126.6117695,010-9392-6229,http://www.seastarcamp.co.kr/
11,대부도나라캠핑장,안산시 단원구 대부남동 557-6,37.2300463,126.5802849,010-9041-6557,http://www.narapension.co.kr/
12,대부관광농원 오캠핑,안산시 단원구 대남로 642,37.220626,126.5672858,010-6547-5005,http://ocamping.co.kr/
13,푸른섬 캠핑장,안산시 단원구 연목이길 31-21,37.2695878,126.5588716,-,https://www.gocamping.or.kr/
14,대부도 아라뜰 캠핑장,안산시 단원구 부흥로 232-21,37.220564,126.600051,010-4716-9141,https://cafe.naver.com/araddeul
15,젤리캠핑장 (휴장),안산시 단원구 중우물1길 15,37.3193953,126.8123263,-,https://jellycamping.modoo.at/
16,동서가든 캠핑장,안산시 단원구 서위매봉길 14,37.2840587,126.5685371,032-885-4461,http://dongseo.alltheway.kr/
